"Date","NEC","Atira","Aten","Apollo","Amor","PHA-km","PHA","NEA-km","NEA-140m","NEA","NEO"
"2022-08-01","117","28","2294","16468","10533","151","2281","849","10122","29323","29440"
"2022-08-01","117","28","2294","16469","10533","151","2281","849","10122","29324","29441"
"2022-07-01","117","28","2279","16402","10487","151","2274","849","10104","29196","29313"
"2022-06-01","117","28","2265","16342","10428","151","2269","849","10078","29063","29180"
"2022-05-01","117","28","2251","16223","10375","151","2263","848","10050","28877","28994"
"2022-04-01","117","28","2235","16063","10325","151","2256","848","10013","28651","28768"
"2022-03-01","117","28","2211","15907","10261","151","2251","848","9994","28407","28524"
"2022-02-01","117","28","2186","15719","10185","151","2244","848","9961","28118","28235"
"2022-01-01","117","27","2156","15532","10100","150","2230","847","9913","27815","27932"
"2021-12-01","117","27","2140","15426","10069","150","2225","847","9896","27662","27779"
"2021-11-01","117","26","2106","15194","9972","150","2216","847","9845","27298","27415"
"2021-10-01","117","26","2073","14956","9844","150","2204","846","9808","26899","27016"
"2021-09-01","117","26","2049","14756","9709","150","2197","846","9759","26540","26657"
"2021-08-01","116","24","2031","14651","9585","150","2186","844","9697","26291","26407"
"2021-07-01","116","24","2021","14588","9533","150","2179","844","9666","26166","26282"
"2021-06-01","115","23","2003","14508","9461","150","2172","843","9621","25995","26110"
"2021-05-01","115","23","1978","14369","9378","150","2167","843","9589","25748","25863"
"2021-04-01","114","23","1953","14184","9282","149","2158","842","9548","25442","25556"
"2021-03-01","114","23","1930","14058","9232","149","2154","842","9530","25243","25357"
"2021-02-01","114","23","1905","13889","9161","149","2146","842","9496","24978","25092"
"2021-01-01","114","22","1875","13716","9112","149","2139","842","9458","24725","24839"
"2020-12-01","114","22","1845","13560","9031","149","2128","842","9405","24458","24572"
"2020-11-01","114","22","1823","13392","8958","149","2117","842","9357","24195","24309"
"2020-10-01","114","22","1801","13191","8844","149","2108","841","9307","23858","23972"
"2020-09-01","114","22","1781","13016","8708","148","2099","840","9268","23527","23641"
"2020-08-01","114","22","1761","12891","8598","148","2084","840","9203","23272","23386"
"2020-07-01","114","21","1751","12827","8522","148","2077","840","9158","23121","23235"
"2020-06-01","113","21","1738","12776","8466","148","2072","840","9122","23001","23114"
"2020-05-01","113","21","1717","12649","8383","148","2062","840","9083","22770","22883"
"2020-04-01","112","20","1693","12480","8291","148","2058","840","9039","22484","22596"
"2020-03-01","112","20","1686","12365","8252","148","2047","840","9011","22323","22435"
"2020-02-01","112","20","1669","12225","8221","148","2038","840","8990","22135","22247"
