COUNTRY,SPADOC_CD,ORBITAL_TBA,ORBITAL_PAYLOAD_COUNT,ORBITAL_ROCKET_BODY_COUNT,ORBITAL_DEBRIS_COUNT,ORBITAL_TOTAL_COUNT,DECAYED_PAYLOAD_COUNT,DECAYED_ROCKET_BODY_COUNT,DECAYED_DEBRIS_COUNT,DECAYED_TOTAL_COUNT,COUNTRY_TOTAL
"ARAB SATELLITE COMMUNICATIONS ORGANIZATION","AB","0","14","0","0","14","1","0","0","1","15"
"ASIASAT CORP","AC","0","8","0","0","8","0","0","0","0","8"
"REPUBLIC OF ANGOLA","AGO","0","1","0","0","1","0","0","0","0","1"
"ALGERIA","ALG","0","6","0","0","6","0","0","0","0","6"
"ARGENTINA","ARGN","0","48","0","1","49","2","0","0","2","51"
"AUSTRIA","ASRA","0","3","0","0","3","0","0","0","0","3"
"AUSTRALIA","AUS","0","29","2","0","31","6","0","0","6","37"
"AZERBAIJAN","AZER","0","3","0","0","3","0","0","0","0","3"
"BELGIUM","BEL","0","6","0","0","6","1","0","0","1","7"
"BELARUS","BELA","0","2","0","0","2","0","0","0","0","2"
"BERMUDA","BERM","0","1","0","0","1","0","0","0","0","1"
"PEOPLES REPUBLIC OF BANGLADESH","BGD","0","1","0","0","1","1","0","0","1","2"
"REPUBLIC OF BULGARIA","BGR","0","3","0","0","3","0","0","0","0","3"
"BOLIVIA","BOL","0","1","0","0","1","0","0","0","0","1"
"BRAZIL","BRAZ","0","20","0","0","20","3","0","0","3","23"
"CANADA","CA","0","76","0","5","81","4","0","2","6","87"
"PEOPLES REPUBLIC OF CHINA/BRAZIL","CHBZ","0","4","0","34","38","0","0","53","53","91"
"CHILE","CHLE","0","6","0","0","6","0","0","0","0","6"
"COMMONWEALTH OF INDEPENDENT STATES","CIS","3","1557","1049","5366","7975","2080","2897","11659","16636","24611"
"COLOMBIA","COL","0","2","0","0","2","0","0","0","0","2"
"REPUBLIC OF COSTA RICA","CRI","0","0","0","0","0","1","0","0","1","1"
"CZECHOSLOVAKIA","CZCH","0","10","0","0","10","2","0","0","2","12"
"DENMARK","DEN","0","10","0","0","10","3","0","0","3","13"
"ECUADOR","ECU","0","2","0","0","2","0","0","0","0","2"
"EGYPT","EGYP","0","9","0","0","9","1","0","0","1","10"
"EUROPEAN SPACE AGENCY","ESA","0","96","7","52","155","12","7","23","42","197"
"EUROPEAN SPACE RESEARCH ORGANIZATION","ESRO","0","0","0","0","0","7","0","3","10","10"
"ESTONIA","EST","0","2","0","0","2","0","0","0","0","2"
"EUROPEAN ORGANIZATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES","EUME","0","9","0","8","17","0","0","0","0","17"
"EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION (EUTELSAT)","EUTE","0","57","0","0","57","0","0","0","0","57"
"FRANCE/GERMANY","FGER","0","2","0","0","2","0","0","0","0","2"
"FINLAND","FIN","0","24","0","0","24","1","0","0","1","25"
"FRANCE","FR","0","82","166","351","599","11","82","669","762","1361"
"FRANCE/ITALY","FRIT","0","2","0","0","2","0","0","0","0","2"
"GERMANY","GER","0","86","0","1","87","17","0","1","18","105"
"REPUBLIC OF GHANA","GHA","0","0","0","0","0","1","0","0","1","1"
"GLOBALSTAR","GLOB","0","84","0","1","85","0","0","1","1","86"
"GREECE","GREC","0","3","0","0","3","2","0","0","2","5"
"HUNGARY","HUN","0","2","0","0","2","3","0","0","3","5"
"INTERNATIONAL MARITIME SATELLITE ORGANIZATION (INMARSAT)","IM","0","19","0","0","19","0","0","0","0","19"
"INDIA","IND","0","107","40","72","219","14","25","450","489","708"
"INDONESIA","INDO","0","17","0","0","17","2","0","0","2","19"
"IRAN","IRAN","0","2","2","0","4","5","4","0","9","13"
"IRAQ","IRAQ","0","1","0","0","1","0","0","0","0","1"
